"Project ID","Title Project","Short Descr Project","Project Starts","Project Ends","Level of Impact","ISO CODE","Loc of Impact","Loc Info","% Aim 1: Right to Sustainable Livelihoods","% Aim 2: Right to Essential services","% Aim 3: Right to Life and Security","% Aim 4: Right to be heard","% Aim 5: Right to Equity"," Expenditure prior to 2010/11","Expenditure in 2010/11"," Revised Budget  in current and future years (£) ","Total Value all years (£)"
"AGNA64","WE CAN end violence against women in Afghanistan","The project is part of PIP P00115 which is the South Asia regional “We Can end violence against women campaign”. The objective is to challenge and change the patriarchal idea, beliefs, attitude, behaviour and practice that perpetuate violence against women. Project will take numbers of initiatives, which ultimately contribute to breaking the silence of domestic violence, which has huge prevalence all over the Afghan society. Under this project numbers of campaign initiatives will be taken to mobilise 2000 change makers and to make them aware about the issue and bring positive change in their personal attitudes, behaviours and practices.","1-May-07 ","31-Mar-11 ","Country","AF","Afghanistan"," Kabul ",-0,-0,-0,10,90," 95,018 "," 40,415 ",-0," 135,433 "
"AGNA67","National Solidarity Programme cycle one and two in Daikundi","The project contributes to P00419 and is designed to develop the ability of communities to identify, plan, manage and monitor their development projects. It promotes a new development paradigm whereby communities are empowered to manage resources during PCM. It aims at building the foundation for sustainable forms of inclusive local governance rural reconstruction and poverty alleviation. Oxfam will facilitate programme implementation in 70 communities, approx. 4,200 families in 2 districts of Daikundi, this being a new contract for new communities in the districts where AGN256 and AGNA53 was implemented.","1-Sep-07 ","30-Sep-11 ","Country","AF","Afghanistan","Miramor and Sharistan Districts, Daikundi province, Afghanistan",-0,-0,5,80,15," 356,563 "," 4,045 ",-0," 360,609 "
"AGNA69","National Solidarity Programme in Daikundi new district","This project contributes to P00419. This project will develop the ability of communities to identify, plan, manage and monitor their own development projects.  NSP promotes a new development paradigm whereby communities (men and women) are empowered to make decisions and manage resources during all stages of the project cycle (SCOs 1, 4, 5).  The programme is building the foundation for a sustainable form of inclusive local governance, rural reconstruction, and poverty alleviation.  Oxfam will facilitate programme implementation in 40 communities around 2,000 families in  Sangtakhat  districst of Daikundi.","15-Sep-07 ","30-Sep-11 ","Country","AF","Afghanistan","Sangtakht district of Daikundi province",20,15,15,10,40," 181,234 "," 39,598 ",-0," 220,833 "
"AGNA79","Ensuring Programme Quality and Support","This is an internal project contributing to three PIPs - P00342, P00419 and P00343._x000D_
_x000D_
The support is for an internal team comprising (1) Funding and Business Development Manager, (2) M&E Co-ordinator and (3) Funding and Partnership Co-ordinator. _x000D_
_x000D_
This team of technical staff is expected to support the field teams in implementation of the programmes and management in the implementation of the OGB Afghanistan National Change Strategy._x000D_
_x000D_
This project will be managed internally by OXFAM.","1-May-08 ","31-Mar-12 ","Country","AF","Afghanistan",-0,40,-0,30,10,20," 145,660 "," 101,593 "," 208,312 "," 455,564 "
"AGNA80","NGO Coordination and Advocacy","NGOs in Afghanistan operate in a difficult environment from several aspects, primarily security and the negative perception of NGOs.  In this context ACBAR has an ongoing role to play in ensuring that the reputation of NGOs is improved and that the important role they play in Afghanistan’s development is recognized and supported. Currently ACBAR has 100 members including OXFAM GB. This project seeks to build this network and help advocate with government. The main activities in this project will include capacity building of NGOs, better co-ordination, introduction of the code of conduct and advocacy with government.","24-Jul-08 ","31-Mar-11 ","Country","AF","Afghanistan",-0,-0,-0,-0,100,-0," 126,454 "," 31,298 ",-0," 157,751 "
"AGNA85","Community Mobilisation and Capacity Building","This project is based on community mobilisation and strengthening of community structures and processes. The effort is to build a base for livelihood strengthening in 15 villages in Kandahar province of Southern Afghanistan. _x000D_
_x000D_
The project will be implemented by a partner - Organisation of Human Welfare. The budget being requested is US $ 89,470 over three years. Budgetary support  for core staff to diminish over the three years.","16-Nov-08 ","15-Nov-11 ","Country","AF","Afghanistan"," 15 villages in the Kandahar province of Southern Afghanistan ",80,-0,-0,-0,20," 35,392 "," 18,354 "," 6,448 "," 60,193 "
"AGNA86","Afghanistan Rights in Crisis Campaign","Right in Crisis Campaign (RiC) is an integral part of OI advocacy program in Afghanistan which encampasses a two year strategy from June2010 - June2012 focusing on following three main themes._x000D_
_x000D_
Theme: 1) Women's rights in transition_x000D_
Theme: 2) Protection of Afghan civilians from harm from security forces_x000D_
Theme: 3) Food security","30-Jun-08 ","30-Sep-11 ","Country","AF","Afghanistan"," Throughout the Afghanistan ",20,10,40,30,-0," 307,042 "," 192,578 "," 70,000 "," 569,620 "
"AGNA88","An integrated approach to Universalization of Elementary Education (UEE) in AGN","This project aims to improve the quality of, and access to, primary education in two districts of Badakhshan and Daikundi provinces of Afghanistan over the next 3 years. By improving teaching quality and changing attitudes, we aim to give 1,500 children a way to lift themselves out of poverty._x000D_
Provision of opportunity for 2250 women to access to literacy classes.","1-May-09 ","31-Mar-12 ","Country","AF","Afghanistan","Daikundi (Miramour ) and Badakhshan (Yawan)",-0,90,-0,-0,10," 46,086 "," 40,163 "," 70,686 "," 156,935 "
"AGNA90","Emergency Public Health and Food Security Response in Afghanistan","The project aimed to improve access to safe drinking water, safe sanitation, increase public awareness on public health and personal hygiene and improve food security through gender sensitive approaches in 55 community in Daikundi, 50 community in Badakhshan and 15 community in Kandahar provinces. The project will be implemented in partnership with local NGO's for a period of 9.5 months.","1-Jul-09 ","31-Aug-10 ","Country","AF","Afghanistan","Sangtakh (Daikundi), Yawan (Badakhshan) and (Dand) in Kandahar",90,-0,-0,-0,10," 928,307 "," 769,005 ",-0," 1,697,312 "
"AGNA91","Promote Community Peace - Non-state Actors","Build capacities of CSOs in Afghanistan and create an enabling policy and programme environment where community peace building efforts can be implemented. The specific objective is to facilitate the development of National Strategy for Community Peace Building in Afghanistan and support its implementation.","1-Jan-10 ","31-Jan-13 ","Country","AF","Afghanistan","(Herat, Balkh, Daikundi, Kandahar and Kabul Provinces)",-0,-0,75,-0,25," 101,566 "," 21,777 "," 388,805 "," 512,147 "
"AGNA92","Support to Gender Mainstreaming in Afghanistan Programme","The project focuses on building OGB staff and partner capacity to deliver the Afghanistan programme in a gender responsive way as well as to enhance their interpersonal skills and relations to foster a conducive environment and professionalism. It also focuses on training and capacity that would enhance gender analysis and integration.","17-Dec-09 ","31-Mar-12 ","Country","AF","Afghanistan","Kabul, Badakhshan, Daikundi",10,20,30,10,30," 13,202 "," 9,773 "," 118,900 "," 141,875 "
"AGNA94","Emergency Water, Sanitation and Hygiene Promotion","The overall objective of the project is to safeguard community well being and reduce mortality and morbidity rate through provision of safe drinking water, safe sanitation, hygiene promotion, capacity building and friendly environment promotion in Daikundi and Kandahar provinces of Afghanistan","1-Apr-10 ","31-Jul-11 ","Country","AF","Afghanistan","Daikundi and Kandahar provinces of Afghanistan",40,35,-0,15,10,-0," 359,646 "," 270,068 "," 629,714 "
"AGNA95","Bringing Solar Power and Renewable Energy to Remote Communities in Afghanistan","By use of Micro Hydro Power, the project support upto 7,000 poor people and  communities to increase their access to electricity for lighting, protection and education.  _x000D_
In doing so, we will improve the lives of the most vulnerable families, targeting landless farmers and female headed households.","15-Jan-10 ","14-Jan-11 ","Country","AF","Afghanistan","Shahr I bozorg and Yawan districts  in Badakhshan province",60,30,-0,-0,10,-0," 2,056 ",-0," 2,056 "
"AGNA96","Enhanced Literacy by Improved Quality of Education - Badakhshan and Daikundi","The project aims to enhance literacy through improved quality of education among the targeted rural communities in Daidundi and Badakhshan Provinces. The project facilitates access to high quality books to students and teachers  through establishmentof  the  libraries in 3 girls and 3 boys schools in Yawan and Shahr-I-Buzorg (SIB) districts of Badakhshan and Nili in Daikundi Provinces. 1000 students and teachers will benefit from these libraries.","1-Apr-10 ","31-Mar-11 ","Country","AF","Afghanistan","Badakhshan ( Yawan and SIB) and Daikundi ( Nili)",5,85,-0,-0,10,-0," 40,000 ",-0," 40,000 "
"AGNA97","NSPin Existing Districts ( Miramour,Shahristan,Nili,Ashterly and Sangtakhat)","This project contributes to P00419. This project will develop the ability of communities to identify, plan, manage and monitor their own development projects.  NSP promotes a new development paradigm whereby communities (women and men) are empowered to make decisions and manage resources during all stages of the project.  The programme is building the foundation for a sustainable form of inclusive local governance, rural reconstruction, and poverty alleviation.  Oxfam will facilitate programme implementation in 152 communities around 22,880 families in  Miramour,Shahristan, Nili, Asherly and Sangtakhat districts of Daikundi.","1-Jun-10 ","31-May-13 ","Country","AF","Afghanistan"," MIRAMOUR,SHAHRISTAN,NILI,ASHTERLY AND SANGTAKHAT DISTRICTS IN DAIKUNDI PROVINCE ",20,15,15,10,40,-0," 160,649 "," 501,249 "," 661,898 "
"AGNA98","Strengthening Food Security and Livelihood through Sustainable Resource Manageme","This  project will contribute to P00760: Strengthening food security and livelihoods in Afghanistan and the overall aim of the project will be to strengthen community groups, Oxfam partners and local governance structures to support the process of development in Badakshan. Specifically the project will contribute to the strengthening of food security and sustainable livelihoods for 1850 direct house hold and indirectly 11100beneficiaries for people in Dahan-i-Ab and Jowzgoon vallyes for the period of one years 1st April 2011 - 31 March 2012.","1-Apr-10 ","31-Mar-12 ","Country","AF","Afghanistan","Faizabad, Argu and Yawan districts of Badakhshan Province",80,-0,10,-0,10,-0," 318,466 "," 347,709 "," 666,175 "
"AGNB01","Emergency Response for Agricultural recovery in Daikundi Province, Afghanistan.","The overall objective of this project is to support vulnerable households with cash for work and agricultural recovery of small vulnerable farmers in Ashterly District of Daikundi Province. The aim of this initiative is to improve food security of vulnerable men, women and children, among them elderly headed households, women headed households, widows and people living with disabilities and protect their livelihoods. The project duration is for one year (1st August 2010- 31th July 2011). The projet will be implemented by Oxfam GB and will address the needs of 1200 vulnerable households.","1-Aug-10 ","30-Nov-11 ","Country","AF","Afghanistan","Ashterley District of Daikundi province",90,-0,-0,-0,10,-0," 113,447 "," 225,632 "," 339,079 "
"AGNB02","Empowering Women for the Realisation of Their Rights in Afghanistan","Project across 4 provinces in Afghanistan. The project aims are that:_x000D_
Targeted (women-led and other) CSOs understand women’s social, political and economic rights and are able to advocate for the same; promoting government ownership and support of these entitlements particularly in health and education. Strengthened networks of local governance structures & CSOs in promoting equitable access of women to basic services.Increased awareness of women’s amongst CSOs, community leaders, Shuras (both male and female) and religious leaders to promote women’s rights in their areas of work.","19-Dec-10 ","31-Mar-12 ","Country","AF","Afghanistan","Kabul - Balkh - Herat - Jalalbad",-0,-0,-0,-0,100,-0," 6,913 "," 157,913 "," 164,826 "
"AGNB03","Developing Afghanistan Country Team WASH capacity for timely response","The project will contribute to enhance Oxfam country capacity to respond to category 2 and 3 disaster as envisioned in HDvision 2010. The aim of the project is to improve the quality of emergency response through enhanced capacity of first responders; Oxfam and its partners. The overall aim is to increase the speed , quantity and quality of humanitarian assistance in category 2 and 3 disaster in Afghnaistan. The project will help in having Humanitarian Programme Coordinator and build on capacity of staff and partners in assessmnets, SPHERE standards and humanitarian response capacity","16-Dec-10 ","31-Mar-12 ","Country","AF","Afghanistan",-0,-0,-0,100,-0,-0,-0," 17,328 "," 20,171 "," 37,499 "
"ALBA55","Revitalising Rural Economies in disadvantaged communities of North Albania","This project which is an integral part of Albania Program and PIP P00243 in that it aims to strengthen livelihoods and to contribute to the revitalisation of rural economies in the disadvantaged communities of North, accelerating the process of inclusion of people into economic activities and markets. The project will enable the target communities to market good quality products by providing inputs, training, technical assistance, processing and storage facilities. It will facilitate organisational development and strengthen the capacities of poducers and marketing associations and support these groups in accessing markets.","14-Feb-08 ","13-Feb-10 ","Country","AL","Albania",-0,100,-0,-0,-0,-0," 162,243 "," 4,629 ",-0," 166,872 "
"ALBA57","Local partnership for rural development in Albania","Through this project Oxfam seek to develop Local Partnership  and foster cooperation for rural development in Albania.  To achieve this Oxfam initiates the establishment of Local Action Groups (LAG) in three regions of Albania Dibra, Vlora and Shkodra in cooperation with Civil Society and Local Authorities, following EU model and based on the experiences with rural forum. LAGs will ensure equal participation of women and men. Such initiatives will be associated with capacity building through training on advocacy and participatory budgeting and leadership .","1-Nov-08 ","28-Feb-12 ","Country","AL","Albania","Regions of Dibër, Vlorë, Shkodër in Albania",10,-0,-0,70,20," 17,180 "," 83,552 "," 104,387 "," 205,120 "
"ALBA68","Piloting an Agrarian Co-operative in the Shkodra region of Albania","The project will support the creation of an Agrarian Cooperative, i.e. a Federation of Farmers in Shkodra District . The new Federation will benefit  94 members and their families (350 people) through sustainable improvement in incomes and living conditions; increased small producers access to markets; revitalized local communities and rural economies including increased employment, especially for youth; strengthened social capital in rural communities; and replication of models for production, marketing and organization of farmers. The project will be managed by Oxfam GB. Funds will be spent on development, training and legal costs.","9-Mar-09 ","30-Mar-11 ","Country","AL","Albania"," SHKODRA, TIRANA ",90,-0,-0,10,-0," 7,768 "," 41,044 ",-0," 48,812 "
"ALBA69","Valorisation of the area of Reç: Mountain products and Agritourism","This project aims to assist the rural communities in northern Albania by developing and implementing a rural strategy for the valorisation of the Territorial Capital at the area of Reç, through the strengthening of community work specialized in mountain products and in the development of agro-tourism initiatives. This intervention is part of the Livelihood programme Oxfam GB is developing in Albania but with a wider scope and broader involvement of stakeholders. This intervention falls under P00243.","1-Dec-09 ","2-Apr-11 ","Country","AL","Albania",-0,100,-0,-0,-0,-0," 15,444 "," 106,087 ",-0," 121,531 "
"ALBA73","Livestock for flood affected families in Shkoder and Diber region","This version is raised to reflect changes to the budget and proper coding._x000D_
_x000D_
This project is part of Oxfam’s unwrapped funds for supporting livelihood programme in Albania. The funds will be used to help farmers of remote and flood affected communities in Shkoder and Diber region to improve livestock breed and productivity by providing hens, calves and pigs to very poor families in order to improve nutrition and create a little market surplus of meat and dairy.","19-May-10 ","31-Mar-11 ","Country","AL","Albania","The project is implemented in traditional Oxfam working sites of Shkoder and Dib",100,-0,-0,-0,-0,-0," 67,403 ",-0," 67,403 "
